Wavelength,F1,F2,FZ,F3,F4,FY,F5,FXL,F6,F7,F8,NIR
670,0.00011723642857335272,0.0003899128531062361,-0.0008229392923548653,-0.0027897818475020476,-0.014226187653468102,0.016379602694099455,-0.005448203552072362,-0.0360604971228322,0.09717411159223772,0.08637475734170022,-0.021856612467626896,0.0001241692712872532
675,8.435181233758097e-05,0.0002806529017230072,-0.0005920342348428085,-0.002011318197626127,-0.0102165444752253,0.011776798424239229,-0.004512250702594347,-0.024739492968977407,0.055724852563474876,0.12706401550402566,-0.029563558863899397,0.0001679194077909774
680,4.695486280240859e-05,0.00015633288670888489,-0.00032948921717984163,-0.0011235213835338034,-0.005668726785356855,0.006547544589340055,-0.0030848018035098046,-0.01260234037672518,0.016547292282341655,0.16227586789692525,-0.034867094387119144,0.00019800220453753962
685,1.1510158613201708e-05,3.846811623049517e-05,-8.067252329638398e-05,-0.0002807821234648823,-0.0013644895088183939,0.0015939026904849423,-0.001546152512455011,-0.001475734092268658,-0.01657524371811048,0.18804929225814043,-0.03640205751166725,0.00020665728495963711
690,-1.739009642095104e-05,-5.765480225643833e-05,0.00012218971672893863,0.0004071162820919733,0.002141382982900212,-0.002443553558105686,-0.00018172729134672346,0.00737337048315277,-0.04116983692126076,0.20164872868171527,-0.03302827040731405,0.0001874013165823084
695,-3.7317224150186654e-05,-0.00012394796321851212,0.00026205619679826197,0.0008819900708305439,0.004556079739348471,-0.005226291545679913,0.0008401017886492045,0.01331010570233185,-0.056247682563925046,0.20198865147115141,-0.023993375650547672,0.00013595382993564385
700,-4.783497633316149e-05,-0.0001589533577170935,0.0003358692912694108,0.0011331931741147881,0.005827945485645189,-0.006693898302443289,0.0014611880931827712,0.01627694747155716,-0.06219287991872987,0.18973176196279526,-0.009052223273874012,5.0916712974423036e-05
705,-5.001889473755067e-05,-0.00016624372725199403,0.0003511816040987151,0.001186157545427138,0.00608826242317988,-0.006996973916891614,0.0017080382187873798,0.016652460764185164,-0.06043821162875809,0.1670515471272997,0.011468172499399161,-6.58550977263639e-05
710,-4.584523647016466e-05,-0.00015238933314752908,0.0003218671046593941,0.0010878189486870408,0.005577261053293659,-0.006411821696602441,0.0016587812065599564,0.015072668616011597,-0.05303164391630472,0.13713698489491485,0.03665969387294023,-0.0002092009643914614
715,-3.760578286709911e-05,-0.00012501091284791162,0.0002640138833016741,0.000892662273455416,0.0045732569076136894,-0.00525874671231096,0.0014119168859300665,0.01225917595120344,-0.04219937290650711,0.10357715814337924,0.06507765932286406,-0.000370905736951587
720,-2.7452879917720197e-05,-9.126603003505728e-05,0.0001927308955156853,0.0006518755880511442,0.0033375435072446505,-0.0038385298021291784,0.0010625096647507333,0.008884528213524798,-0.02998877488584325,0.06977724193867019,0.094837594780026,-0.0005402475341600688
725,-1.7119198800890693e-05,-5.69167758343595e-05,0.00012018098758359099,0.00040667149118254564,0.0020804390407025146,-0.0023932933156595947,0.0006878425810760924,0.0054886204211463275,-0.0180377278914153,0.038524227260573404,0.12376564196174322,-0.0007048485594265362
